"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
58,71,12,0,0,8,8,776,5,5,5,5,5,5,0,0,761
59,201,87,0,0,0,0,,87,87,87,51,51,87,0.77,583,658
60,85,35,0,0,0,0,,35,35,35,35,35,35,0.49,579,666
61,723,255,1,0,92,92,635,56,56,56,56,56,56,0.43,591,704
62,326,84,0,0,31,31,694,54,54,54,54,54,54,0.11,708,703
63,646,256,1,0,71,72,616,65,66,66,66,66,66,0.33,572,648
64,1119,594,2,0,183,185,561,50,50,50,50,50,50,0.78,550,595
65,513,104,0,0,49,49,776,55,55,55,55,55,55,0.07,654,761
66,1428,727,7,0,243,250,568,64,64,64,64,64,64,0.83,560,616
67,420,99,0,0,23,23,678,56,56,56,56,56,56,0.09,631,694
68,934,374,0,0,80,80,630,53,53,53,53,53,53,0.6,592,663
69,443,159,1,0,45,46,634,60,60,60,60,60,60,0.45,599,659
70,423,123,0,0,60,60,658,53,53,53,53,53,53,0.26,633,670
71,1048,432,2,0,164,166,607,47,48,48,48,48,48,0.85,598,670
72,458,148,0,0,56,56,662,55,55,55,55,55,55,0.24,650,660
73,144,43,0,0,0,0,,43,43,43,43,43,43,0.42,625,713
74,556,198,1,0,65,65,627,62,62,62,62,62,62,0.73,614,674
75,1290,384,0,0,132,132,675,60,60,60,60,60,60,0.48,641,707
76,667,176,0,0,75,75,693,52,52,52,52,52,52,0.37,656,729
77,456,109,0,0,0,0,,109,108,109,58,58,109,0.27,684,757
78,255,81,0,0,0,0,,81,81,81,51,51,81,0.44,607,693
79,263,83,1,0,0,1,700,81,81,81,61,61,81,0.49,619,707
80,333,140,0,0,0,0,,109,109,109,52,52,109,0.72,578,678
81,894,340,2,0,117,117,617,52,52,52,52,52,52,0.6,613,677
82,648,187,1,0,53,54,675,53,53,53,53,53,53,0.26,638,683
83,1125,341,1,0,118,119,667,57,57,57,57,57,57,0.6,628,705
84,399,85,0,0,15,15,750,50,50,50,50,50,50,0.08,669,744
85,748,220,1,0,102,103,664,46,46,46,46,46,46,0.35,645,724
86,387,143,8,0,33,41,615,52,52,52,52,52,52,0.83,621,734
87,221,79,0,0,13,13,644,31,31,31,31,31,31,0.87,601,800
88,450,102,0,0,45,45,738,50,50,50,50,50,50,0.18,686,767
89,592,185,2,0,0,2,618,103,103,102,53,53,103,0.44,610,694
90,74,19,0,0,0,0,,19,19,19,19,19,19,0.16,658,718
91,129,37,0,0,0,0,,38,38,38,38,38,38,0.42,649,711
92,99,25,0,0,0,0,,25,25,25,25,25,25,0.36,643,752
93,33,9,0,0,0,0,,9,9,9,9,9,9,0.11,620,698
94,291,73,0,0,31,31,710,41,41,41,41,41,41,0.27,620,711
95,547,143,0,0,37,37,717,52,52,52,52,52,52,0.52,655,728
96,464,123,0,0,40,40,675,54,54,54,54,54,54,0.26,650,688
97,958,264,0,0,92,92,673,65,65,65,65,65,65,0.26,634,708
98,374,82,0,0,25,25,733,49,49,49,49,49,49,0.1,762,755
99,221,95,0,0,29,29,595,50,50,50,50,50,50,0.7,574,697
100,30,6,0,0,0,0,,6,6,6,6,6,6,0,0,723
101,259,88,0,0,24,24,656,52,52,52,52,52,52,0.62,639,688
102,155,50,0,0,21,21,658,29,29,29,29,29,29,0.52,621,711
103,81,28,1,0,7,8,669,20,20,20,20,20,20,0.8,630,721
104,15,6,0,0,0,0,,6,6,6,6,6,6,0.83,612,684
105,100,42,0,0,0,0,,42,42,42,42,42,42,0.36,549,620
106,305,92,0,0,0,0,,72,72,72,54,54,72,0.22,614,686
107,116,50,0,0,0,0,,50,50,50,50,50,50,0.46,562,616
108,6,2,0,0,0,0,,2,2,2,2,2,2,0.5,609,662
109,690,255,1,0,66,67,626,58,58,58,58,57,58,0.67,608,667
110,138,50,1,0,8,9,623,41,41,41,41,41,41,0.71,613,678
111,736,202,0,0,0,0,,118,118,118,55,55,118,0.29,606,695
112,282,69,0,0,0,0,,69,69,69,51,51,69,0.12,619,719
113,27,9,0,0,0,0,,9,9,9,9,9,9,0.56,617,682
114,23,6,0,0,0,0,,6,6,6,6,6,6,0.33,582,745
115,396,170,0,0,0,0,,117,118,118,54,54,118,0.43,572,620
116,307,117,0,0,42,42,601,54,54,54,54,54,54,0.33,590,618
117,292,103,0,0,38,38,607,53,54,54,54,54,54,0.43,601,643
118,773,252,0,0,92,92,624,53,53,53,53,53,53,0.42,602,674
119,794,273,0,0,96,96,633,54,54,54,54,54,54,0.57,596,654
120,137,36,0,0,16,16,712,20,20,20,20,20,20,0.15,699,721
121,7,2,0,0,0,0,,2,2,2,2,2,2,0,0,691
122,254,76,0,0,38,38,642,39,39,39,39,39,39,0.18,568,635
123,74,27,0,0,0,0,,27,27,27,27,27,27,0.3,543,632
124,164,61,0,0,0,0,,61,61,61,61,61,61,0.56,582,650
125,39,9,0,0,0,0,,9,9,9,9,9,9,0.22,565,732
126,32,7,0,0,5,5,755,2,2,2,2,2,2,0,0,722
127,767,253,1,0,85,86,625,64,64,64,64,64,64,0.44,589,679
128,75,22,0,0,6,6,676,16,16,16,16,16,16,0.38,698,726
129,402,135,0,0,46,46,622,37,37,37,37,37,37,0.51,580,625
130,178,51,0,0,14,14,658,37,37,37,37,37,37,0.22,616,678
131,604,179,1,0,65,66,657,58,58,58,58,58,58,0.57,619,693
132,42,11,0,0,0,0,,11,11,11,11,11,11,0.27,669,713
133,66,23,0,0,0,0,,23,23,23,23,23,23,0.43,574,682
134,130,29,0,0,13,12,737,16,16,16,16,16,16,0.06,741,753
135,109,23,0,0,11,11,768,12,12,12,12,12,12,0,0,724
136,1023,364,2,0,185,186,620,56,56,56,56,56,56,0.16,539,627
137,1436,665,0,0,302,302,576,77,77,77,77,77,77,0.27,559,601
138,1065,551,0,0,351,351,562,58,58,58,58,58,58,0.38,567,585
139,421,224,0,0,59,59,565,49,49,49,49,49,49,0.35,536,554
140,274,149,0,0,85,85,551,50,50,50,50,50,50,0.38,525,573
141,693,309,0,0,179,179,584,52,52,52,52,52,52,0.29,557,598
142,646,290,4,0,143,147,580,60,60,60,60,60,60,0.27,539,613
143,1231,485,1,0,290,290,599,57,57,57,57,57,57,0.42,567,628
144,816,303,3,0,142,145,614,53,53,52,53,53,53,0.15,597,632
145,649,238,3,0,133,136,612,57,56,57,57,57,57,0.29,593,634
146,85,28,0,0,14,14,649,14,14,14,14,14,14,0.14,629,622
147,200,71,0,0,36,36,612,35,35,35,35,35,35,0.26,603,636
148,222,69,1,0,26,27,648,43,43,43,43,43,43,0.23,597,649
149,878,221,2,0,95,97,689,50,50,50,50,50,50,0.24,649,714
150,657,174,3,0,67,69,674,52,52,52,52,52,52,0.42,636,702
152,28,13,0,0,10,10,564,3,3,3,3,3,3,0.67,570,568
153,142,41,0,0,15,15,641,26,26,26,26,26,26,0.23,576,683
154,215,49,0,0,19,19,675,30,30,30,30,30,30,0.4,619,749
155,351,95,1,0,31,32,687,49,49,49,49,49,49,0.39,612,652
155,62638,22521,91,0,7383,7464,,7275,7279,7269,6708,6691,7282,,,
